Rank,Player,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall
1,Byron Buxton,70,60,80,70,75,75
2,Xander Bogaerts,60,70,50,60,55,70
3,Oscar Tavares,75,60,50,60,55,70
4,Miguel Sano,55,75,40,70,40,65
5,Archie Bradley,70,65,50,,50,65
6,Taijuan Walker,70,55,55,,50,65
7,Javier Baez,55,70,50,65,50,65
8,Carlos Correa,60,70,50,70,50,70
9,Kris Bryant,55,75,40,60,50,70
10,Francisco Lindor,60,40,55,60,70,65
11,Noah Syndergaard,70,60,55,,60,65
12,Addison Russell,60,60,55,60,55,65
13,Gregory Polanco,60,60,70,60,65,65
14,Jon Gray,80,,50,70,55,65
15,Nick Castellanos,70,60,40,55,50,65
16,Jameson Taillon,65,60,55,,55,60
17,Mark Appel,70,,55,65,55,55
18,Albert Almora Jr,60,50,50,65,75,55
19,Robert Stephenson,70,70,50,,55,60
20,Dylan Bundy,70,65,60,,60,65
21,George Springer,55,70,60,60,60,60
22,Travis D’Arnaud,55,60,30,55,55,60
23,Aaron Sanchez,70,65,60,,45,55
24,Austin Hedges,50,50,40,65,65,60
25,Kyle Zimmer,70,65,55,60,60,55
26,Maikel Franco,60,70,30,60,50,55
27,Tyler Glasnow,70,55,50,,45,60
28,Alex Meyer,70,,50,65,50,60
29,Andrew Heaney,60,,55,65,60,60
30,Henry Owens,,,,,,
31,Kevin Gausman,70,,60,50,60,60
32,Kyle Crick,70,,50,60,40,55
33,Jackie Bradley Jr,60,45,50,55,75,60
34,Corey Seager,60,60,40,60,45,65
35,Yordano Ventura,75,60,50,,50,60
36,Joc Pederson,55,55,55,55,55,60
37,Billy Hamilton,50,30,80,50,65,60
38,Adalberto Mondesi,55,50,60,60,60,55
39,Jorge Alfaro,45,60,45,75,55,60
40,Kohl Stewart,70,55,55,65,55,60
41,Eddie Butler,75,55,55,65,55,60
42,Carl Edwards Jr,65,60,50,,55,55
43,Max Fried,60,65,50,,50,55
44,Lucas Giolito,80,65,55,,55,65
45,Austin Meadows,60,55,65,40,60,55
46,Allen Webster,70,60,60,,50,55
47,Gary Sanchez,50,60,30,70,50,55
48,Clint Frazier,55,65,60,55,50,55
49,Jorge Soler,60,60,30,40,50,55
50,Jon Singelton,60,60,30,40,50,55
51,Colin Moran,65,50,40,55,50,55
52,Lance McCullers Jr,70,65,45,,45,55
53,Jesse Biddle,55,60,50,,50,50
54,Mike Foltynewicz,80,50,50,,45,55
55,Marcus Stroman,65,,55,65,60,55
56,Jake Odorizzi,55,50,55,50,60,55
57,Garin Cecchini,65,50,50,50,50,55
58,Kolten Wong,60,40,50,45,55,55
59,Rougned Odor,60,40,50,50,45,55
60,Lucas Sims,65,60,55,,55,55
61,Blake Swihart,60,50,50,60,50,60
62,Mookie Betts,65,45,60,45,55,65
63,Zach Lee,55,40,55,50,55,50
64,Julio Urias,65,65,55,,60,65
65,Jake Marisnick,50,55,60,60,65,55
66,Delino DeShields,50,40,70,40,55,50
67,Alen Hanson,55,40,60,45,55,55
68,Eduardo Rodriguez,55,,50,50,50,50
69,AJ Cole,70,50,55,,55,55
70,Erik Johnson,60,40,50,60,60,55
71,David Dahl,60,60,60,60,60,55
72,Michael Choice,55,60,50,50,50,55
73,Trevor Bauer,60,60,50,50,55,55
74,Josh Bell,60,60,50,55,55,60
75,Mason Williams,45,40,60,50,60,45
76,Luis Sardinas,55,30,70,65,65,55
77,Chris Owings,55,45,55,50,50,55
78,Matt Wisler,60,45,60,,60,55
79,Braden Shipley,65,55,60,,60,55
80,Matt Davidson,45,60,40,50,45,50
81,Justin Nicolino,55,50,60,,60,50
82,Christian Bethancourt,50,50,40,70,60,55
83,Jimmy Nelson,60,,45,55,50,55
84,Hak-Ju Lee,55,30,60,60,60,50
85,Rafael Montero,60,,55,50,60,55
86,Matt Barnes,60,50,55,,50,50
87,Casey Kelly,60,50,55,,55,50
88,DJ Peterson,60,60,40,60,40,55
89,Arismendy Alcantara,55,50,60,60,50,60
90,Jose Berrios,60,55,55,,50,60
91,Jorge Bonifacio,55,60,50,60,55,50
92,Joey Gallo,45,80,30,70,40,65
93,Roberto Osucna,70,,50,55,60,55
94,Taylor Guerrrieri,60,60,50,,55,50
95,Edwin Escobar,60,,50,50,50,50
96,Trey Ball,60,55,55,,45,50
97,Robbie Ray,60,,55,45,45,50
98,Stephen Piscotty,60,50,40,60,50,55
99,Rosell Herrera,60,50,40,60,50,50
100,Pierce Johnson,60,60,50,,45,50
