Rank,Player,Team,Position,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall,FG WAR First 7,Contract $ over Minimum
4,Aaron Blair,AZ,RHP,60,50,55,,50,55,-0.7,
5,Stryker Trahan,AZ,C,45,55,45,60,45,45,0,
6,Jose Martinez,AZ,RHP,65,55,45,,45,45,0,
7,Jake Lamb,AZ,3B,55,50,40,60,60,55,8.1,15
8,Brandon Drury,AZ,3B,45,50,40,55,45,50,3.5,3.5
9,Matt Stites,AZ,RHP,70,,40,60,60,45,-0.6,
10,Jake Barrett,AZ,RHP,70,,40,60,50,45,-0.2,
11,Zeke Spruill,AZ,RHP,55,,50,45,50,45,0.2,
12,Sergio Alcantara,AZ,SS,45,30,50,70,55,45,0.9,2
13,Andrew Chafin,AZ,LHP,50,,50,55,45,45,4,7
14,Felipe Perez,AZ,RHP,55,45,45,,55,45,0,
15,James Sherfy,AZ,RHP,65,,45,55,45,45,0.2,
16,Daniel Gibson,AZ,LHP,60,40,45,55,50,45,0,
17,Justin Williams,AZ,OF,40,60,40,50,45,45,-0.7,
18,Joe Munoz,AZ,3B,45,40,40,55,50,45,0,
19,Nick Ahmed,AZ,SS,40,30,60,60,55,45,10.6,12
20,Kevin Munson,AZ,RHP,60,,,60,40,45,0,
3,Jason Hursh,ATL,RHP,65,,50,50,55,50,0,
4,Jose Peraza,ATL,2B,50,30,70,50,60,55,4.4,4.5
5,Mauricio Cabrera,ATL,RHP,70,,45,55,45,50,0.7,
6,JR Graham,ATL,RHP,70,,50,55,60,45,-0.1,
7,Tommy La Stella,ATL,2B,60,30,40,50,50,50,4.8,4
8,Victor Caratini,ATL,C,55,45,40,60,45,50,2.9,4.5
9,David Hale,ATL,RHP,55,,50,55,50,50,1.4,
10,Cody Martin,ATL,RHP,50,55,50,,50,45,-0.7,
11,Kyle Kubitza,ATL,3B,45,50,40,60,50,45,-0.4,
12,Ian Thomas,ATL,LHP,50,50,55,,50,45,0.4,
13,Johan Camargo,ATL,SS,55,30,45,60,50,45,4.0,3
14,Carlos Salazar,ATL,RHP,60,40,55,45,50,45,0,
15,Edward Salcedo,ATL,3B,40,50,40,60,50,45,0,
16,Aaron Northcraft,ATL,RHP,50,40,45,50,45,45,-0.1,
17,Todd Cunningham,ATL,OF ,45,30,60,50,60,45,-0.1,
18,Kyle Wren,ATL,OF ,50,30,60,45,50,45,0,
19,Shae Simmons,ATL,RHP,60,50,45,,45,45,0.3,
20,Alec Grosser,ATL,RHP,60,,45,50,50,45,0,
